Location,Leefbaarheidsindex
A1,6.8945608452585
A2,7.479635024624589
A3,7.567661494638651
A4,5.064020541879556
A5,6.3245608452585005
A6,6.9045608452585
A7,6.9245608452585
A8,6.024613308782786
A9,6.004613308782785
A10,6.004613308782785
A11,7.1445608452585
A12,8.068434746612558
A13,8.23572233740841
A14,6.9445608452585
A15,7.4545608452585
A16,5.264020541879556
A17,6.624613308782786
A18,6.9245608452585
A19,8.222176201634982
A20,6.024613308782786
A21,7.892
A22,6.224613308782786
A23,7.807635024624589
A24,8.442
A25,7.376887665638947
A26,5.064020541879556
A27,6.9245608452585
A28,6.574613308782785
A29,7.7030987818682375
A30,6.604560845258501
A31,6.004613308782785
A32,6.564613308782786
A33,6.6445608452585
A34,6.824613308782785
A35,6.5445608452585
A36,6.9445608452585
A37,7.419635024624589
A38,6.9045608452585
A39,8.239177840280442
A40,7.579635024624588
A41,8.207635024624588
A42,5.064020541879556
A43,6.9445608452585
A44,6.544613308782786
A45,7.559730373460985
A46,7.849980723768768
A47,6.604613308782786
A48,6.9445608452585
A49,7.679635024624589
A50,7.807635024624588
B1,7.952
B2,7.3245608452585
B3,6.9245608452585
B4,6.024613308782786
B5,7.533281875168728
B6,7.52225526131042
B7,6.624613308782786
B8,5.204020541879556
B9,6.8745608452585
B10,7.3245608452585
B11,7.679635024624589
B12,6.144613308782786
B13,6.004613308782785
B14,7.346425013040683
B15,5.264020541879556
B16,7.1045608452585
B17,6.204613308782785
B18,6.9245608452585
B19,7.5
B20,7.344368863315766
B21,7.552
B22,6.624613308782786
B23,6.174613308782785
B24,8.288183809821899
B25,7.342733049533809
B26,6.117863331495455
B27,7.180733249891043
B28,7.1245608452585
B29,6.9245608452585
B30,5.9046133087827855
B31,6.404560845258501
B32,7.3646676481299185
B33,7.272255261310422
B34,7.4745608452585
B35,7.9650592870197965
B36,8.267635024624589
B37,7.555415248499487
B38,6.934917132850595
B39,6.9045608452585
B40,6.504560845258499
B41,6.524560845258501
B42,7.0176457957228635
B43,6.3445608452585
B44,6.7045608452584995
B45,8.27963502462459
B46,7.701420991194503
B47,6.504560845258499
B48,5.264020541879556
B49,7.524560845258501
B50,6.1445608452585
C1,6.224613308782786
C2,6.224613308782786
C3,5.264020541879556
C4,5.954613308782785
C5,6.8445608452585
C6,6.174613308782785
C7,6.504560845258499
C8,6.7445608452584995
C9,6.9045608452585
C10,6.174613308782785
C11,7.551204908868065
C12,6.224613308782786
C13,7.390494693868266
C14,7.938104437665212
C15,6.9445608452585
C16,5.064020541879556
C17,6.204613308782785
C18,7.952
C19,6.738294443239287
C20,5.064020541879556
C21,7.003439296264753
C22,7.689632139609788
C23,7.0246133087827864
C24,6.9445608452585
C25,7.104560845258499
C26,6.5445608452585
C27,6.574613308782785
C28,7.279635024624589
C29,5.064020541879556
C30,6.523182953813004
C31,8.27963502462459
C32,7.389858244652526
C33,7.344903584539723
C34,6.234560845258501
C35,7.5064658138836
C36,7.672743618968991
C37,6.2545608452585
C38,7.5600000000000005
C39,5.9446133087827855
C40,7.0745608452585
C41,6.2445608452585
C42,7.325965669346266
C43,6.524560845258501
C44,6.9245608452585
C45,5.264020541879556
C46,6.124613308782785
C47,6.524560845258501
C48,7.9
C49,6.9045608452585
C50,6.824613308782785
D1,6.9445608452585
D2,6.524560845258501
D3,5.264020541879556
D4,5.064020541879556
D5,8.092
D6,6.4745608452585
D7,5.014020541879556
D8,6.224613308782786
D9,6.004613308782785
D10,7.96
D11,6.604613308782786
D12,8.16
D13,6.604560845258501
D14,6.224613308782786
D15,7.7245608452585
D16,7.0045608452585
D17,6.204613308782785
D18,6.3245608452585005
D19,6.204613308782785
D20,7.218697468457592
D21,6.7245608452585
D22,6.8045608452585
D23,6.804613308782786
D24,6.224613308782786
D25,5.864020541879556
D26,6.1546133087827855
D27,6.504560845258499
D28,7.141959243893189
D29,6.004613308782785
D30,6.164613308782785
D31,8.042000000000002
D32,6.174613308782785
D33,7.644079037689553
D34,7.290204342016429
D35,7.9
D36,7.264560845258499
D37,6.004613308782785
D38,6.8545608452585
D39,5.064020541879556
D40,5.664020541879555
D41,7.32831719301041
D42,7.5963415071182885
D43,7.4545608452585
D44,7.544114605095362
D45,8.100000000000001
D46,6.024613308782786
D47,7.249999999999999
D48,7.96
D49,6.672255261310421
D50,7.667635024624589
E1,7.067635024624589
E2,6.9445608452585
E3,8.092
E4,7.330697468457592
E5,5.064020541879556
E6,7.918697468457593
E7,5.264020541879556
E8,5.624613308782786
E9,7.1445608452585
E10,8.231331255075883
E11,6.504560845258499
E12,5.774613308782785
E13,5.604020541879557
E14,7.104560845258499
E15,6.624613308782786
E16,5.264020541879556
E17,6.224613308782786
E18,6.4945608452584995
E19,5.264020541879556
E20,5.214020541879556
E21,6.224613308782786
E22,6.8745608452585
E23,8.092
E24,8.207635024624588
E25,6.6445608452585
E26,5.614020541879556
E27,7.5325325208528895
E28,6.7045608452584995
E29,7.415753980702387
E30,7.817635024624588
E31,7.489935263140979
E32,7.1045608452585
E33,7.1445608452585
E34,7.444560845258501
E35,7.76
E36,6.024613308782786
E37,8.079635024624588
E38,7.96
E39,6.204613308782785
E40,6.9387657956171775
E41,6.6545608452585
